,latitude,longitude,brightness,scan,track,date,confidence,bright_t31,frp,daynight,type,datetime,temperature,humidity,rain,stat_lat,stat_long,time_difference,new_latitude,new_longitude,new_time_difference,new_date,final_date
3913,15.785296,100.346779,367,0.4,0.6,1554249600,0,301.52,6.76,0,0,3/4/2019 7:12,28.4,66.2,0.15483871,15.8691504,100.2648384,25920,15.806797,100.27795,25945.465,1554275545.465,2019-04-03 07:12:25.464999936
3914,17.202076,98.366669,367,0.49,0.48,1523404800,0,304.62,21.38,0,0,11/4/2018 7:06,28.0927112,74.8910155,0.15483871,16.9898688,98.5182784,25560,17.211178,98.42893,25611.281,1523430411.281,2018-04-11 07:06:51.280999936
3915,17.494698,102.16861,367,0.42,0.45,1580169600,0,303.52,11.19,0,0,28/1/2020 6:48,20.0,78.3,0.0,17.5756576,102.27328,24480,17.580177,102.21494,25372.037,1580194972.037,2020-01-28 07:02:52.036999936
3916,17.736624,97.863564,367,0.6,0.71,1331596800,0,290.71,64.16,0,0,13/3/2012 7:30,25.5,74.8910155,0.15483871,17.7539088,97.9627456,27000,17.731487,97.93837,26262.242,1331623062.242,2012-03-13 07:17:42.242000128
3917,18.195345,100.417465,367,0.41,0.37,1364169600,0,313.91,74.61,0,0,25/3/2013 6:18,28.0927112,74.8910155,0.15483871,18.1202,100.291,22680,18.105646,100.36964,27302.367,1364196902.367,2013-03-25 07:35:02.367000064
3918,18.021603,98.309776,367,0.43,0.38,1395014400,0,308.92,17.99,0,0,17/3/2014 6:30,28.0927112,74.8910155,0.15483871,17.7979744,98.34144,23400,17.757767,98.3892,23559.064,1395037959.064,2014-03-17 06:32:39.064000000
3919,13.572264,102.419319,367,0.34,0.56,1547251200,0,299.16,8.54,0,0,12/1/2019 5:48,28.0927112,74.8910155,0.0,13.7058416,102.4816832,20880,13.727958,102.45719,21181.32,1547272381.32,2019-01-12 05:53:01.320000000
3920,16.912996,101.746429,367,0.61,0.71,1458432000,0,293.42,9.24,1,0,20/3/2016 17:54,25.0,52.0,0.0,16.8771376,101.861408,64440,16.924896,101.75608,29089.277,1458461089.277,2016-03-20 08:04:49.276999936
3921,16.495586,100.095757,367,0.39,0.6,1421539200,0,297.93,7.94,0,0,18/1/2015 7:18,28.0927112,74.8910155,0.15483871,16.3967344,100.0549312,26280,16.370796,100.0511,25927.146,1421565127.146,2015-01-18 07:12:07.145999872
3922,18.570951,99.627327,367,0.5,0.66,1330732800,0,303.02,13.76,0,0,3/3/2012 7:18,16.7,90.0,0.15483871,18.7122864,99.5820672,26280,18.661638,99.60932,24613.57,1330757413.57,2012-03-03 06:50:13.569999872
3923,18.346233,100.112656,367,0.42,0.61,1330300800,0,308.22,17.91,0,0,27/2/2012 7:12,28.0927112,74.8910155,0.15483871,18.2659136,100.1770432,25920,18.31957,100.084526,25783.307,1330326583.307,2012-02-27 07:09:43.306999808
3924,18.407547,98.840645,367,0.56,0.69,1586908800,0,302.46,23.14,0,0,15/4/2020 7:24,28.9,59.9,0.15483871,18.3353328,98.8182784,26640,18.337225,98.84236,25564.105,1586934364.105,2020-04-15 07:06:04.104999936
